hour,pump,agent,status,tank,tank_level_m,flow_m3s,head_m
0,PU1,0,1,T1,3.0,0.0974,31.41
1,PU1,0,1,T1,2.77,0.097,31.62
2,PU1,0,1,T1,2.6,0.0969,31.68
3,PU1,0,1,T1,2.47,0.0964,31.95
4,PU1,0,1,T1,2.47,0.0958,32.26
5,PU1,0,1,T1,2.54,0.0958,32.25
6,PU1,0,1,T1,2.55,0.0952,32.6
7,PU1,0,1,T1,2.67,0.0962,32.06
8,PU1,0,1,T1,2.82,0.0961,32.11
9,PU1,0,1,T1,2.84,0.0972,31.53
10,PU1,0,1,T1,2.63,0.0981,31.05
11,PU1,0,1,T1,2.41,0.098,31.08
12,PU1,0,1,T1,2.21,0.0991,30.49
13,PU1,0,1,T1,1.96,0.0987,30.69
14,PU1,0,1,T1,1.76,0.0994,30.32
15,PU1,0,1,T1,1.51,0.1001,29.95
16,PU1,0,1,T1,1.22,0.101,29.46
17,PU1,0,1,T1,0.91,0.1006,29.69
18,PU1,0,1,T1,0.64,0.1015,29.2
19,PU1,0,1,T1,0.34,0.1009,29.49
20,PU1,0,1,T1,0.11,0.1018,29.0
21,PU1,0,1,T1,0.0,0.1055,27.01
22,PU1,0,1,T1,0.0,0.1048,27.39
23,PU1,0,1,T1,0.0,0.1053,27.12
0,PU1,0,1,T1,0.0,0.1039,27.87
0,PU2,0,1,T1,3.0,0.0974,31.4
1,PU2,0,1,T1,2.77,0.097,31.61
2,PU2,0,1,T1,2.6,0.0969,31.67
3,PU2,0,1,T1,2.47,0.0964,31.94
4,PU2,0,1,T1,2.47,0.0958,32.25
5,PU2,0,1,T1,2.54,0.0958,32.24
6,PU2,0,1,T1,2.55,0.0952,32.59
7,PU2,0,1,T1,2.67,0.0962,32.05
8,PU2,0,1,T1,2.82,0.0961,32.1
9,PU2,0,1,T1,2.84,0.0972,31.52
10,PU2,0,1,T1,2.63,0.0981,31.04
11,PU2,0,1,T1,2.41,0.098,31.07
12,PU2,0,1,T1,2.21,0.0991,30.48
13,PU2,0,1,T1,1.96,0.0987,30.68
14,PU2,0,1,T1,1.76,0.0994,30.31
15,PU2,0,1,T1,1.51,0.1001,29.94
16,PU2,0,1,T1,1.22,0.101,29.44
17,PU2,0,1,T1,0.91,0.1006,29.68
18,PU2,0,1,T1,0.64,0.1015,29.19
19,PU2,0,1,T1,0.34,0.101,29.48
20,PU2,0,1,T1,0.11,0.1018,28.99
21,PU2,0,1,T1,0.0,0.1055,26.99
22,PU2,0,1,T1,0.0,0.1048,27.38
23,PU2,0,1,T1,0.0,0.1053,27.11
0,PU2,0,1,T1,0.0,0.1039,27.85
0,PU4,1,0,T3,3.0,0.0,43.01
1,PU4,1,0,T3,2.92,0.0,62.57
2,PU4,1,0,T3,2.91,0.0,63.34
3,PU4,1,0,T3,2.87,0.0,64.22
4,PU4,1,0,T3,2.78,0.0,64.47
5,PU4,1,0,T3,2.8,0.0,44.52
6,PU4,1,0,T3,2.84,0.0,40.87
7,PU4,1,0,T3,2.86,0.0,42.01
8,PU4,1,0,T3,2.87,0.0,40.04
9,PU4,1,0,T3,2.85,0.0,37.41
10,PU4,1,0,T3,2.82,0.0,35.44
11,PU4,1,0,T3,2.81,0.0,36.07
12,PU4,1,0,T3,2.78,0.0,37.69
13,PU4,1,0,T3,2.75,0.0,36.01
14,PU4,1,0,T3,2.76,0.0,57.39
15,PU4,1,0,T3,2.77,0.0,57.62
16,PU4,1,0,T3,2.77,0.0,58.51
17,PU4,1,0,T3,2.77,0.0,57.03
18,PU4,1,0,T3,2.75,0.0,56.84
19,PU4,1,0,T3,2.84,0.0,38.07
20,PU4,1,0,T3,2.84,0.0,38.69
21,PU4,1,0,T3,2.86,0.0,39.37
22,PU4,1,0,T3,2.9,0.0,41.62
23,PU4,1,0,T3,2.9,0.0,39.68
0,PU4,1,0,T3,2.92,0.0,43.52
0,PU5,1,0,T3,3.0,0.0,43.01
1,PU5,1,1,T3,2.92,0.0347,62.57
2,PU5,1,1,T3,2.91,0.0343,63.34
3,PU5,1,1,T3,2.87,0.0338,64.22
4,PU5,1,1,T3,2.78,0.0336,64.47
5,PU5,1,0,T3,2.8,0.0,44.52
6,PU5,1,0,T3,2.84,0.0,40.87
7,PU5,1,0,T3,2.86,0.0,42.01
8,PU5,1,0,T3,2.87,0.0,40.04
9,PU5,1,0,T3,2.85,0.0,37.41
10,PU5,1,0,T3,2.82,0.0,35.44
11,PU5,1,0,T3,2.81,0.0,36.07
12,PU5,1,0,T3,2.78,0.0,37.69
13,PU5,1,0,T3,2.75,0.0,36.01
14,PU5,1,1,T3,2.76,0.0377,57.39
15,PU5,1,1,T3,2.77,0.0375,57.62
16,PU5,1,1,T3,2.77,0.037,58.51
17,PU5,1,1,T3,2.77,0.0379,57.03
18,PU5,1,1,T3,2.75,0.0379,56.84
19,PU5,1,0,T3,2.84,0.0,38.07
20,PU5,1,0,T3,2.84,0.0,38.69
21,PU5,1,0,T3,2.86,0.0,39.37
22,PU5,1,0,T3,2.9,0.0,41.62
23,PU5,1,0,T3,2.9,0.0,39.68
0,PU5,1,0,T3,2.92,0.0,43.52
0,PU6,2,0,T4,2.5,0.0,81.76
1,PU6,2,0,T4,2.33,0.0,84.09
2,PU6,2,0,T4,2.64,0.0,84.2
3,PU6,2,0,T4,2.97,0.0,85.74
4,PU6,2,0,T4,3.59,0.0,86.26
5,PU6,2,0,T4,4.27,0.0,85.66
6,PU6,2,0,T4,4.24,0.0,59.65
7,PU6,2,0,T4,3.33,0.0,82.43
8,PU6,2,0,T4,3.66,0.0,81.87
9,PU6,2,0,T4,3.85,0.0,81.21
10,PU6,2,0,T4,3.8,0.0,80.57
11,PU6,2,0,T4,3.46,0.0,80.11
12,PU6,2,0,T4,2.99,0.0,80.11
13,PU6,2,0,T4,2.69,0.0,79.23
14,PU6,2,0,T4,2.05,0.0,80.09
15,PU6,2,1,T4,2.46,0.0387,100.64
16,PU6,2,1,T4,2.63,0.0383,101.21
17,PU6,2,1,T4,2.9,0.0385,100.92
18,PU6,2,1,T4,3.01,0.0382,101.29
19,PU6,2,1,T4,3.16,0.0384,100.97
20,PU6,2,1,T4,3.35,0.0386,100.84
21,PU6,2,1,T4,3.39,0.0381,101.36
22,PU6,2,1,T4,3.41,0.037,102.76
23,PU6,2,0,T4,3.13,0.0,82.98
0,PU6,2,0,T4,2.8,0.0,83.53
0,PU7,2,1,T4,2.5,0.0503,81.81
1,PU7,2,1,T4,2.33,0.0491,84.14
2,PU7,2,1,T4,2.64,0.049,84.25
3,PU7,2,1,T4,2.97,0.0482,85.78
4,PU7,2,1,T4,3.59,0.0479,86.31
