hour,pump,agent,status,tank,tank_level_m,flow_m3s,head_m
0,~@Pump-13,0,1,T-1,42.91,0.0083,46.06
1,~@Pump-13,0,1,T-1,43.27,0.008,47.27
2,~@Pump-13,0,1,T-1,43.63,0.0073,52.15
3,~@Pump-13,0,0,T-1,43.8,0.0,25.69
4,~@Pump-13,0,0,T-1,43.74,0.0,26.84
5,~@Pump-13,0,0,T-1,43.68,0.0,26.92
6,~@Pump-13,0,0,T-1,43.59,0.0,27.26
7,~@Pump-13,0,0,T-1,43.45,0.0,27.65
8,~@Pump-13,0,0,T-1,43.22,0.0,27.97
9,~@Pump-13,0,0,T-1,42.91,0.0,27.84
10,~@Pump-13,0,0,T-1,42.58,0.0,27.62
11,~@Pump-13,0,0,T-1,42.24,0.0,29.03
12,~@Pump-13,0,0,T-1,41.9,0.0,28.84
13,~@Pump-13,0,0,T-1,41.56,0.0,28.64
14,~@Pump-13,0,0,T-1,41.24,0.0,28.6
15,~@Pump-13,0,0,T-1,40.92,0.0,31.57
16,~@Pump-13,0,0,T-1,40.6,0.0,31.85
17,~@Pump-13,0,0,T-1,40.27,0.0,32.63
18,~@Pump-13,0,0,T-1,39.92,0.0,34.59
19,~@Pump-13,0,1,T-1,39.87,0.007,54.38
20,~@Pump-13,0,1,T-1,39.82,0.0069,55.36
21,~@Pump-13,0,1,T-1,39.75,0.0068,55.62
22,~@Pump-13,0,1,T-1,39.7,0.0075,50.78
23,~@Pump-13,0,1,T-1,39.88,0.0076,50.16
0,~@Pump-13,0,1,T-1,40.17,0.0076,50.02
0,~@Pump-9,1,0,T-4,25.79,0.0,57.76
1,~@Pump-9,1,0,T-4,25.63,0.0,57.48
2,~@Pump-9,1,0,T-4,25.51,0.0,57.27
3,~@Pump-9,1,0,T-4,25.41,0.0,57.15
4,~@Pump-9,1,0,T-4,25.31,0.0,56.86
5,~@Pump-9,1,0,T-4,25.18,0.0,56.66
6,~@Pump-9,1,0,T-4,25.01,0.0,56.44
7,~@Pump-9,1,0,T-4,24.75,0.0,56.19
8,~@Pump-9,1,0,T-4,24.31,0.0,55.87
9,~@Pump-9,1,1,T-4,24.35,0.0122,62.21
10,~@Pump-9,1,1,T-4,24.39,0.0122,62.49
11,~@Pump-9,1,1,T-4,24.41,0.0121,62.69
12,~@Pump-9,1,1,T-4,24.43,0.0121,62.87
13,~@Pump-9,1,1,T-4,24.46,0.0121,63.01
14,~@Pump-9,1,1,T-4,24.5,0.012,63.22
15,~@Pump-9,1,1,T-4,24.56,0.012,63.51
16,~@Pump-9,1,1,T-4,24.61,0.0119,63.84
17,~@Pump-9,1,1,T-4,24.65,0.0118,64.28
18,~@Pump-9,1,1,T-4,24.63,0.0117,64.82
19,~@Pump-9,1,1,T-4,24.54,0.0116,65.46
20,~@Pump-9,1,1,T-4,24.36,0.0116,65.77
21,~@Pump-9,1,1,T-4,24.15,0.0116,65.81
22,~@Pump-9,1,1,T-4,23.97,0.0118,64.54
23,~@Pump-9,1,1,T-4,24.08,0.0099,77.06
0,~@Pump-9,1,1,T-4,24.39,0.0101,75.58
0,~@Pump-8,2,1,T-13,21.48,0.0154,98.65
1,~@Pump-8,2,1,T-13,22.35,0.0153,99.3
2,~@Pump-8,2,1,T-13,23.3,0.0152,99.82
3,~@Pump-8,2,1,T-13,24.28,0.0152,100.27
4,~@Pump-8,2,1,T-13,25.26,0.0151,100.48
5,~@Pump-8,2,1,T-13,26.18,0.0151,100.53
6,~@Pump-8,2,1,T-13,27.0,0.0152,100.39
7,~@Pump-8,2,0,T-13,27.53,0.0,16.32
8,~@Pump-8,2,0,T-13,26.58,0.0,17.19
9,~@Pump-8,2,0,T-13,25.32,0.0,16.85
10,~@Pump-8,2,0,T-13,23.95,0.0,15.92
11,~@Pump-8,2,1,T-13,22.86,0.0156,97.77
12,~@Pump-8,2,1,T-13,22.68,0.0156,97.74
13,~@Pump-8,2,1,T-13,22.51,0.0156,97.75
14,~@Pump-8,2,1,T-13,22.4,0.0156,97.78
15,~@Pump-8,2,1,T-13,22.29,0.0148,102.95
16,~@Pump-8,2,1,T-13,22.14,0.0147,103.36
17,~@Pump-8,2,1,T-13,21.96,0.0146,104.41
18,~@Pump-8,2,1,T-13,21.67,0.0143,106.28
19,~@Pump-8,2,1,T-13,21.2,0.0139,109.2
20,~@Pump-8,2,1,T-13,20.52,0.0139,109.65
21,~@Pump-8,2,1,T-13,19.96,0.0164,92.96
22,~@Pump-8,2,1,T-13,19.96,0.015,101.77
23,~@Pump-8,2,1,T-13,20.19,0.0152,100.08
0,~@Pump-8,2,1,T-13,20.89,0.0152,99.98
